ID,Session,Run,Trial,Block,TrialStart,RT_press,RT_start_right,RT_start_left,RT_end_right,RT_end_left,right_positions,left_positions
21,1,1,1,1,0.08313420007470995,0.3497320000315085,0,0,0,0,[],[]
21,1,1,2,1,6.6050625999923795,0.39936579996719956,0,0,0,0,[],[]
21,1,1,3,1,13.878052700078115,0.2824457000242546,0,0,0,0,[],[]
21,1,1,4,1,20.61715920001734,0.3661777999950573,,0.022165699978359044,,0.8399912000168115,"[[0, 0.002944991226062399], [0, 0.0019684138246738314], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05], [0, -1.5259021896696368e-05]]","[[-0.06324864576180667, 0.04786755168993673], [-0.06324864576180667, 0.04664682993820102], [-0.06324864576180667, 0.046280613412680305], [-0.06324864576180667, 0.045059891660944595], [-0.06324864576180667, 0.044815747310597454], [-0.06324864576180667, 0.0433508812085146], [-0.06324864576180667, 0.04322880903334103], [-0.06324864576180667, 0.042252231631952464], [-0.06324864576180667, 0.04213015945677889], [-0.06324864576180667, 0.04090943770504318], [-0.06324864576180667, 0.038467994201571765], [-0.06324864576180667, 0.038467994201571765], [-0.06324864576180667, 0.038467994201571765], [-0.06324864576180667, 0.038467994201571765], [-0.06324864576180667, 0.038467994201571765], [-0.06324864576180667, 0.038467994201571765], [-0.06324864576180667, 0.038467994201571765], [-0.06324864576180667, 0.038467994201571765], [-0.06324864576180667, 0.038467994201571765], [-0.06324864576180667, 0.03553826199740606], [-0.06324864576180667, 0.03382925154497607], [-0.06324864576180667, 0.03175402456702536], [-0.06324864576180667, 0.024307621881437314], [-0.06324864576180667, 0.01734950789654377], [-0.06324864576180667, 0.0019684138246738314], [-0.05519188220035098, -1.5259021896696368e-05], [-1.5259021896696368e-05, -0.04701304646372173], [-0.009781033035782372, -0.08339055466544598], [-0.007461661707484524, -0.13051041428244448], [-0.007461661707484524, -0.1850766765850309], [-0.007461661707484524, -0.2561226825360494], [-0.007461661707484524, -0.3344930189974823], [-0.007461661707484524, -0.41286335545891506], [0.009414816510261659, -0.4854962996871901], [0.028213931486991584, -0.5458915083543145], [0.04090943770504318, -0.592156862745098], [0.05506981002517741, -0.6539253833829252], [0.05885404745555811, -0.679316395819028], [0.06214999618524453, -0.7623254749370565], [0.06214999618524453, -0.8154268711375601], [0.06214999618524453, -0.8605935759517815], [0.06214999618524453, -0.8984359502555886], [0.05983062485694668, -0.911985961699855]]"
21,1,1,5,1,27.054919800022617,0.35014310001861304,0.5066717999288812,,0.6742837999481708,,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.03810177767605094], [-0.013076981765468787, -0.07936217288471814], [-0.013076981765468787, -0.14210727092393383], [-0.013076981765468787, -0.22938887617303727], [-0.006851300831616669, -0.33595788509956515], [0.0017242694743266895, -0.4463111314564736], [0.0033112077515831118, -0.6066834515907531], [0.005508506904707389, -0.7047074082551308], [0.009903105210955943, -0.7968719005111773], [0.013321126115815929, -0.8819562066071565], [0.01466392004272521, -0.9172350652323186]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
21,1,1,6,1,33.627249900018796,0.34989209997002035,0.45598089997656643,,0.6233447999693453,,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.012588693064774503], [-0.011001754787518081, -0.07081712062256806], [-0.011001754787518081, -0.12098878461890594], [-0.011001754787518081, -0.19789425497825586], [-0.00025940337224383825, -0.2986037994964523], [0.026993209735255874, -0.4113984893568322], [0.04811169604028387, -0.5286793316548409], [0.0672770275425345, -0.6411078049897001], [0.0824444953078507, -0.7436484321355001], [0.10734721904325939, -0.8731670099946593], [0.1219958800640879, -0.9388418402380407]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
21,1,1,7,1,40.81745139998384,0.4662326999241486,0,0,0,0,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.012588693064774503], [-0.011001754787518081, -0.07081712062256806], [-0.011001754787518081, -0.12098878461890594], [-0.011001754787518081, -0.19789425497825586], [-0.00025940337224383825, -0.2986037994964523], [0.026993209735255874, -0.4113984893568322], [0.04811169604028387, -0.5286793316548409], [0.0672770275425345, -0.6411078049897001], [0.0824444953078507, -0.7436484321355001], [0.10734721904325939, -0.8731670099946593], [0.1219958800640879, -0.9388418402380407]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
21,1,1,8,1,47.83857790008187,0.33401769993361086,0,0,0,0,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.012588693064774503], [-0.011001754787518081, -0.07081712062256806], [-0.011001754787518081, -0.12098878461890594], [-0.011001754787518081, -0.19789425497825586], [-0.00025940337224383825, -0.2986037994964523], [0.026993209735255874, -0.4113984893568322], [0.04811169604028387, -0.5286793316548409], [0.0672770275425345, -0.6411078049897001], [0.0824444953078507, -0.7436484321355001], [0.10734721904325939, -0.8731670099946593], [0.1219958800640879, -0.9388418402380407]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
21,1,1,9,1,54.528589399997145,0.3504913999931887,0,0,0,0,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.012588693064774503], [-0.011001754787518081, -0.07081712062256806], [-0.011001754787518081, -0.12098878461890594], [-0.011001754787518081, -0.19789425497825586], [-0.00025940337224383825, -0.2986037994964523], [0.026993209735255874, -0.4113984893568322], [0.04811169604028387, -0.5286793316548409], [0.0672770275425345, -0.6411078049897001], [0.0824444953078507, -0.7436484321355001], [0.10734721904325939, -0.8731670099946593], [0.1219958800640879, -0.9388418402380407]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
21,1,1,10,1,61.23308979999274,0.2835112999891862,0,0,0,0,"[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, -0.012588693064774503], [-0.011001754787518081, -0.07081712062256806], [-0.011001754787518081, -0.12098878461890594], [-0.011001754787518081, -0.19789425497825586], [-0.00025940337224383825, -0.2986037994964523], [0.026993209735255874, -0.4113984893568322], [0.04811169604028387, -0.5286793316548409], [0.0672770275425345, -0.6411078049897001], [0.0824444953078507, -0.7436484321355001], [0.10734721904325939, -0.8731670099946593], [0.1219958800640879, -0.9388418402380407]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]"
