ID,Session,Run,Trial,Block,TrialStart,RT_press,RT_start_right,RT_start_left,RT_end_right,RT_end_left,right_positions,left_positions
15,1,1,1,1,0.016292599961161613,0.349581099988427,0,0,0,0,[],[]
15,1,1,2,1,8.239954399992712,0.2332378999562934,0,0,0,0,[],[]
15,1,1,3,1,16.046267199970316,0.250619700003881,0,0,0,0,[],[]
15,1,1,4,1,23.902738499979023,0.28395079995971173,0,0,0,0,[],[]
15,1,1,5,1,31.1753188999719,0.28327950002858415,0,0,0,0,[],[]
15,1,1,6,1,38.73183129995596,0.21637650002958253,0,0,0,0,[],[]
15,1,1,7,1,46.42134030000307,0.38326460000826046,0.016077900014352053,,0.5340291999746114,,"[[-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-1.5259021896696368e-05, -0.038590066376745225], [-0.000747692072938122, -0.10450904097047375], [-0.000747692072938122, -0.2208438239108873], [0.01466392004272521, -0.48403143358510714], [0.03419546807049678, -0.6783398184176395], [0.038712138551918907, -0.8774395361257343], [0.041153582055390325, -1.0]]","[[-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818]]"
15,1,1,8,1,53.82771529996535,0.3496959999902174,0,0,0,0,"[[-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-1.5259021896696368e-05, -0.038590066376745225], [-0.000747692072938122, -0.10450904097047375], [-0.000747692072938122, -0.2208438239108873], [0.01466392004272521, -0.48403143358510714], [0.03419546807049678, -0.6783398184176395], [0.038712138551918907, -0.8774395361257343], [0.041153582055390325, -1.0]]","[[-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818]]"
15,1,1,9,1,61.834088400006294,0.26686850003898144,0,0,0,0,"[[-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-0.011978332188906649, -0.0643472953383688], [-1.5259021896696368e-05, -0.038590066376745225], [-0.000747692072938122, -0.10450904097047375], [-0.000747692072938122, -0.2208438239108873], [0.01466392004272521, -0.48403143358510714], [0.03419546807049678, -0.6783398184176395], [0.038712138551918907, -0.8774395361257343], [0.041153582055390325, -1.0]]","[[-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818]]"
15,1,1,10,1,69.59099439997226,0.28318700002273545,,0.4102542000473477,,0.510922700050287,"[[-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05], [-1.5259021896696368e-05, -1.5259021896696368e-05]]","[[-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.03810177767605094, 0.005386434729533818], [-0.062027924010070956, 0.0719462882429236], [-0.01710536354619674, -1.5259021896696368e-05], [0.014297703517204496, -0.20375371938658737], [0.02528419928282588, -0.366475928892958], [0.02528419928282588, -0.5599298084992752], [0.02528419928282588, -0.775875486381323], [0.02662699320973516, -0.997436484321355]]"
