ID,Session,Run,Trial,Block,TrialStart,RT_press,RT_start_right,RT_start_left,RT_end_right,RT_end_left,right_positions,left_positions,time
99,1,1,1,1,0.019267200026661158,1,0,0,0,0,[],[],0
99,1,1,2,1,8.886381400050595,0.3445031000301242,0,0,0,0,[],[],0
99,1,1,3,1,16.832816400099546,0.26607270003296435,0,0,0,0,[],[],0
99,1,1,4,1,24.699196600122377,0.2501115999184549,0,0,0,0,[],[],0
99,1,1,5,1,31.923942000139505,0.2430263999849558,0,0,0,0,[],[],0
99,1,1,6,1,39.420030400156975,0.24402980017475784,0,0,0,0,[],[],0
99,1,1,7,1,47.14329780009575,0.25385159999132156,0,0,0,0,[],[],0
