Timestamp,X_axis,Y_axis
1751619020.3401034,0,0
1751619020.3562715,0,0
1751619020.3732839,0,0
1751619020.3915699,0,0
1751619020.4084694,0,0
1751619020.4250789,0,0
1751619020.4419055,0,0
1751619020.4578922,0,0
1751619020.4741051,0,0
1751619020.4911556,0,0
1751619020.5082526,0,0
1751619020.5254579,0,0
1751619020.542479,0,0
1751619020.556614,0,0
1751619020.5736518,0,0
1751619020.5896928,0,0
1751619020.6066682,0,0
1751619020.6238902,0,0
1751619020.6418984,0,0
1751619020.6589038,0,0
1751619020.6753142,0,0
1751619020.6919389,0,0
1751619020.708927,0,0
1751619020.7252052,0,0
1751619020.7422378,0,0
1751619020.758565,0,0
1751619020.7755847,0,0
1751619020.792628,0,0
1751619020.8088856,0,0
1751619020.8259165,0,0
1751619020.8421714,0,0
1751619020.8591907,0,0
1751619020.8754492,0,0
1751619020.8925176,0,0
1751619020.9087274,0,0
1751619020.9251733,0,0
1751619020.9437191,0,0
1751619020.958295,0,0
1751619020.9755301,0,0
1751619020.9915583,0,0
1751619021.008777,0,0
1751619021.0258305,0,0
1751619021.0420544,0,0
1751619021.058396,0,0
1751619021.0755787,0,0
1751619021.091694,0,0
1751619021.106929,0,0
1751619021.1229582,0,0
1751619021.139936,0,0
1751619021.1572459,0,0
1751619021.1740572,0,0
1751619021.1921015,0,0
1751619021.2080274,0,0
1751619021.2251208,0,0
1751619021.242122,0,0
1751619021.2583783,0,0
1751619021.2756014,0,0
1751619021.2925866,0,0
1751619021.3088477,0,0
1751619021.3258765,0,0
1751619021.3421388,0,0
1751619021.3591754,0,0
1751619021.3751218,0,0
1751619021.3900788,0,0
1751619021.4060342,0,0
1751619021.422022,0,0
1751619021.4391215,0,0
1751619021.4560947,0,0
1751619021.473081,0,0
1751619021.489032,0,0
1751619021.5058472,0,0
1751619021.5227802,0,0
1751619021.5397286,0,0
1751619021.5559483,0,0
1751619021.5729234,0,0
1751619021.589934,0,0
1751619021.6072512,0,0
1751619021.6252582,0,0
1751619021.641548,0,0
1751619021.6578052,0,0
1751619021.6751132,0,0
1751619021.6922154,0,0
1751619021.7084687,0,0
1751619021.7255325,0,0
1751619021.7419734,0,0
1751619021.7589989,0,0
1751619021.7751677,0,0
1751619021.792212,0,0
1751619021.8092403,0,0
1751619021.8255062,0,0
1751619021.8425198,0,0
1751619021.8587592,0,0
1751619021.8758283,0,0
1751619021.8920407,0,0
1751619021.9090664,0,0
1751619021.9253175,0,0
1751619021.9423418,0,-0.004776073853665963
1751619021.958836,0,-0.008926527809567375
1751619021.9758058,0,-0.011490043488212365
1751619021.992049,0,-0.014541847867551638
1751619022.0091088,0,-0.02369726100556957
1751619022.026321,0,-0.03419546807049667
1751619022.0423415,-0.01588464179446103,-0.04982070649271386
1751619022.059684,-0.023086900129701715,-0.06276035706111238
1751619022.0756497,-0.028458075837338837,-0.08412298771648741
1751619022.0919676,-0.03248645761806668,-0.10914778362706945
1751619022.107925,-0.03578240634775309,-0.13832303349355302
1751619022.124208,-0.03907835507743951,-0.17396810864423595
1751619022.140221,-0.04298466468299378,-0.21095597772182806
1751619022.1614025,-0.04847791256580458,-0.2688181887541009
1751619022.1745014,-0.052750438696879565,-0.2865186541542687
1751619022.190462,-0.061905851834897385,-0.32118715190356295
1751619022.2074683,-0.0710612649729152,-0.35280384527351794
1751619022.2234864,-0.08021667811093314,-0.3828336003662165
1751619022.24155,-0.09938200961318377,-0.4261692225528344
1751619022.258794,-0.11476310368505382,-0.44997329671168074
1751619022.275865,-0.13197528038452733,-0.47389944304570075
1751619022.2919118,-0.15260547798886093,-0.4947737850003815
1751619022.3089352,-0.17396810864423595,-0.5168383306630044
1751619022.325959,-0.19667353322652015,-0.538323033493553
1751619022.3419156,-0.22230869001297016,-0.5616388189517052
1751619022.3575578,-0.24855420767528802,-0.5823910887312123
1751619022.3725982,-0.274189364461738,-0.6044861524376288
1751619022.3896096,-0.2999465934233616,-0.6268253604943923
1751619022.4069192,-0.32411688410772865,-0.648554207675288
1751619022.4227967,-0.3491416800183108,-0.6700389105058366
1751619022.4407146,-0.3803921568627451,-0.6905470359349966
1751619022.456671,-0.41286335545891506,-0.7060502021820401
1751619022.472626,-0.44618905928130004,-0.7193560692759594
1751619022.4896092,-0.5002365148393988,-0.7332722972457466
1751619022.5069034,-0.5407644769970246,-0.738277256427863
1751619022.5225108,-0.5812924391546501,-0.7412069886320287
1751619022.5395472,-0.6257267109178302,-0.7438925764858473
1751619022.556521,-0.6685740444037538,-0.7463340199893187
