x,y,time
-0.013916015625,-0.654541015625,2025-07-04T11:36:12.820956
-0.013916015625,-0.654541015625,2025-07-04T11:36:12.824901
-0.0186767578125,-0.678955078125,2025-07-04T11:36:12.830929
-0.02490234375,-0.70556640625,2025-07-04T11:36:12.835875
-0.02490234375,-0.70556640625,2025-07-04T11:36:12.839862
-0.0302734375,-0.73291015625,2025-07-04T11:36:12.843850
-0.0302734375,-0.73291015625,2025-07-04T11:36:12.846842
-0.0302734375,-0.73291015625,2025-07-04T11:36:12.850829
-0.0347900390625,-0.7581787109375,2025-07-04T11:36:12.853820
-0.0347900390625,-0.7581787109375,2025-07-04T11:36:12.856812
-0.0394287109375,-0.783935546875,2025-07-04T11:36:12.859829
-0.0394287109375,-0.783935546875,2025-07-04T11:36:12.861967
-0.0394287109375,-0.783935546875,2025-07-04T11:36:12.864976
-0.04443359375,-0.8106689453125,2025-07-04T11:36:12.867938
-0.04443359375,-0.8106689453125,2025-07-04T11:36:12.871771
-0.04443359375,-0.8106689453125,2025-07-04T11:36:12.874767
-0.047119140625,-0.834716796875,2025-07-04T11:36:12.876972
-0.047119140625,-0.834716796875,2025-07-04T11:36:12.879959
-0.047119140625,-0.834716796875,2025-07-04T11:36:12.882955
-0.0501708984375,-0.8592529296875,2025-07-04T11:36:12.885764
-0.0501708984375,-0.8592529296875,2025-07-04T11:36:12.888754
-0.05322265625,-0.882568359375,2025-07-04T11:36:12.891747
-0.05322265625,-0.882568359375,2025-07-04T11:36:12.894737
-0.05322265625,-0.882568359375,2025-07-04T11:36:12.896898
-0.0576171875,-0.9044189453125,2025-07-04T11:36:12.899878
-0.0576171875,-0.9044189453125,2025-07-04T11:36:12.902691
-0.0576171875,-0.9044189453125,2025-07-04T11:36:12.905708
-0.0599365234375,-0.92431640625,2025-07-04T11:36:12.908673
-0.0599365234375,-0.92431640625,2025-07-04T11:36:12.910700
-0.0599365234375,-0.92431640625,2025-07-04T11:36:12.912852
-0.0625,-0.9439697265625,2025-07-04T11:36:12.915655
-0.0625,-0.9439697265625,2025-07-04T11:36:12.917854
-0.0625,-0.9439697265625,2025-07-04T11:36:12.920658
-0.0625,-0.9439697265625,2025-07-04T11:36:12.922663
-0.0655517578125,-0.9656982421875,2025-07-04T11:36:12.925842
-0.0655517578125,-0.9656982421875,2025-07-04T11:36:12.928828
-0.070068359375,-0.985595703125,2025-07-04T11:36:12.931612
-0.070068359375,-0.985595703125,2025-07-04T11:36:12.933820
-0.070068359375,-0.985595703125,2025-07-04T11:36:12.936609
